BJ|2025-11-12|-1.3|7.1|0.0|맑음
GS|2025-11-12|-0.2|8.1|0.0|구름많음
HG|2025-11-12|-0.2|8.0|0.0|흐림
MR|2025-11-12|1.0|9.1|0.0|맑음
NM|2025-11-12|-1.2|6.8|0.0|구름많음
SD|2025-11-12|-1.4|7.5|0.0|구름많음
BJ|2025-11-13|-3.2|4.7|4.5|눈
GS|2025-11-13|-2.7|5.3|13.6|눈
HG|2025-11-13|3.5|12.9|5.6|비
MR|2025-11-13|0.2|7.0|15.5|비
NM|2025-11-13|-0.2|5.4|13.2|눈
SD|2025-11-13|-1.4|7.4|17.4|눈
BJ|2025-11-14|-4.0|3.9|15.1|눈
GS|2025-11-14|0.8|7.8|5.7|비
HG|2025-11-14|2.2|7.8|6.5|비
MR|2025-11-14|-2.4|6.7|12.3|눈
NM|2025-11-14|-1.2|6.7|2.0|눈
SD|2025-11-14|0.0|6.2|4.2|눈
BJ|2025-11-15|-1.9|3.9|0.0|흐림
GS|2025-11-15|1.5|6.6|0.0|흐림
HG|2025-11-15|-1.6|6.1|0.0|구름많음
MR|2025-11-15|-2.5|2.6|0.0|흐림
NM|2025-11-15|2.7|10.6|0.0|맑음
SD|2025-11-15|0.4|8.8|0.0|맑음
BJ|2025-11-16|-1.3|4.0|0.0|맑음
GS|2025-11-16|-3.4|3.0|0.0|맑음
HG|2025-11-16|1.8|7.8|0.0|구름많음
MR|2025-11-16|-1.8|3.7|0.0|구름많음
NM|2025-11-16|1.2|10.0|0.0|흐림
SD|2025-11-16|-2.6|5.9|0.0|흐림
BJ|2025-11-17|-5.0|3.9|0.0|구름많음
GS|2025-11-17|-0.1|5.0|0.0|흐림
HG|2025-11-17|-0.2|7.0|0.0|구름많음
MR|2025-11-17|-1.5|6.1|0.0|구름많음
NM|2025-11-17|0.1|6.9|0.0|흐림
SD|2025-11-17|0.0|7.5|0.0|맑음
BJ|2025-11-18|-0.9|8.1|0.0|맑음
GS|2025-11-18|0.4|5.8|0.0|맑음
HG|2025-11-18|0.5|5.8|0.0|흐림
MR|2025-11-18|0.6|6.2|0.0|흐림
NM|2025-11-18|-0.1|9.2|0.0|흐림
SD|2025-11-18|-1.0|5.3|0.0|맑음
BJ|2025-11-19|-3.2|4.1|0.0|맑음
GS|2025-11-19|-1.6|5.1|0.0|흐림
HG|2025-11-19|-1.1|8.2|0.0|구름많음
MR|2025-11-19|-2.8|4.2|0.0|흐림
NM|2025-11-19|-0.5|8.0|0.0|흐림
SD|2025-11-19|-1.1|7.6|0.0|구름많음
BJ|2025-11-20|-3.2|3.5|0.0|구름많음
GS|2025-11-20|-2.2|6.0|0.0|맑음
HG|2025-11-20|-0.2|6.2|0.0|흐림
MR|2025-11-20|-0.6|7.8|0.0|구름많음
NM|2025-11-20|-1.0|5.0|0.0|맑음
SD|2025-11-20|-1.8|5.5|0.0|맑음
BJ|2025-11-21|-5.4|3.4|0.0|구름많음
GS|2025-11-21|-2.9|3.2|0.0|맑음
HG|2025-11-21|0.2|7.9|0.0|구름많음
MR|2025-11-21|0.6|7.2|0.0|구름많음
NM|2025-11-21|-2.5|3.6|0.0|구름많음
SD|2025-11-21|-2.9|4.6|0.0|맑음
BJ|2025-11-22|-2.1|5.1|4.5|눈
GS|2025-11-22|-4.1|1.5|8.0|눈
HG|2025-11-22|-2.0|6.2|7.0|눈
MR|2025-11-22|-0.9|7.0|7.1|눈
NM|2025-11-22|1.4|8.3|8.6|비
SD|2025-11-22|-0.4|6.5|3.1|눈
BJ|2025-11-23|-5.4|2.6|16.8|눈
GS|2025-11-23|-4.3|4.6|10.2|눈
HG|2025-11-23|-0.2|5.4|12.7|눈
MR|2025-11-23|-2.3|3.7|13.0|눈
NM|2025-11-23|0.9|6.2|15.4|비
SD|2025-11-23|-3.9|3.9|18.6|눈
BJ|2025-11-24|-3.5|3.3|0.0|흐림
GS|2025-11-24|-4.4|4.8|0.0|흐림
HG|2025-11-24|-0.3|5.2|0.0|맑음
MR|2025-11-24|-2.5|5.3|0.0|흐림
NM|2025-11-24|-2.8|5.3|0.0|흐림
SD|2025-11-24|-3.5|4.9|0.0|구름많음
BJ|2025-11-25|-3.4|5.8|0.0|구름많음
GS|2025-11-25|-1.6|6.9|0.0|흐림
HG|2025-11-25|-1.4|4.0|0.0|흐림
MR|2025-11-25|-2.5|5.1|0.0|맑음
NM|2025-11-25|0.7|9.1|0.0|구름많음
SD|2025-11-25|-2.7|4.0|0.0|구름많음
BJ|2025-11-26|-3.4|5.3|0.0|구름많음
GS|2025-11-26|-3.6|1.6|0.0|흐림
HG|2025-11-26|-1.6|7.2|0.0|흐림
MR|2025-11-26|-0.7|4.6|0.0|흐림
NM|2025-11-26|-2.6|6.4|0.0|맑음
SD|2025-11-26|-4.5|3.2|0.0|흐림
BJ|2025-11-27|-2.3|6.8|0.0|구름많음
GS|2025-11-27|-1.0|4.5|0.0|흐림
HG|2025-11-27|-3.5|2.9|0.0|구름많음
MR|2025-11-27|-2.6|4.3|0.0|흐림
NM|2025-11-27|-1.8|6.7|0.0|맑음
SD|2025-11-27|-5.2|0.9|0.0|흐림
BJ|2025-11-28|-2.8|2.5|8.2|눈
GS|2025-11-28|-1.1|5.6|6.0|눈
HG|2025-11-28|0.6|8.3|9.6|비
MR|2025-11-28|-0.5|7.6|0.5|눈
NM|2025-11-28|-3.3|3.7|7.5|눈
SD|2025-11-28|-5.7|1.0|3.5|눈
BJ|2025-11-29|-4.7|4.2|0.0|구름많음
GS|2025-11-29|-5.4|2.3|0.0|맑음
HG|2025-11-29|-0.4|8.6|0.0|흐림
MR|2025-11-29|-2.8|3.1|0.0|흐림
NM|2025-11-29|-2.1|6.7|0.0|맑음
SD|2025-11-29|-1.7|5.9|0.0|맑음
BJ|2025-11-30|-2.7|6.0|0.0|구름많음
GS|2025-11-30|-1.7|6.0|0.0|흐림
HG|2025-11-30|-1.3|7.6|0.0|흐림
MR|2025-11-30|-3.1|2.6|0.0|흐림
NM|2025-11-30|-2.4|4.1|0.0|맑음
SD|2025-11-30|-5.0|1.7|0.0|맑음
